Particulars,Frequency,Unit,Year,Value,outlier
Agriculture Production Foodgrains Yield Other Cash Crops Sugarcane,"Annual, Ending mar Of Each Year",kg/ha,2012,69118.0,True
Agricultural Production Foodgrains Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2012,3879.0,True
Agricultural Production Foodgrains Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2012,4364.0,True
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,12900.0,True
Agricultural Production Foodgrains Rice Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2012,4520.0,True
Agricultural Production Foodgrains Rice Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2012,7160.0,True
Agricultural Production Foodgrains Rice Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2012,6030.0,True
Agricultural Production Foodgrains Rice Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2012,3760.0,True
Agricultural Production Foodgrains Rice Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2012,3960.0,True
Agricultural Production Foodgrains Rice Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2012,6830.0,True
Agricultural Production Foodgrains Rice Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2012,10540.0,True
Agricultural Production Foodgrains Rice Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2012,7460.0,True
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,14020.0,True
Agricultural Production Foodgrains Rice Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2012,14610.0,True
Agricultural Production Foodgrains Rice Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2012,3738.0,True
Agricultural Production Foodgrains Rice Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,2012,3926.0,True
Agricultural Production Foodgrains Wheat Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2012,4730.0,True
Agricultural Production Foodgrains Wheat Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2012,4070.0,True
Agricultural Production Foodgrains Wheat Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2012,12690.0,True
Agricultural Production Foodgrains Wheat Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,11540.0,True
Agricultural Production Foodgrains Wheat Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2012,17280.0,True
Agricultural Production Foodgrains Wheat Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2012,9320.0,True
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,30290.0,True
Agricultural Production Foodgrains Wheat Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2012,5030.0,True
Agricultural Production Foodgrains Wheat Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2012,4898.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,4230.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2012,6810.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2012,6120.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2012,7460.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2012,3570.0,True
Agricultural Production Foodgrains Coarse Cereals Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2012,3384.0,True
Agricultural Production Foodgrains Coarse Cereals Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2012,3929.0,True
Agricultural Production Foodgrains Coarse Cereals Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,2012,3625.0,True
Agricultural Production Foodgrains Coarse Cereals Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2012,3455.0,True
Agricultural Production Foodgrains Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2013,3698.0,True
Agricultural Production Foodgrains Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2013,4258.0,True
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2013,10910.0,True
Agricultural Production Foodgrains Rice Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2013,4560.0,True
Agricultural Production Foodgrains Rice Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2013,7340.0,True
Agricultural Production Foodgrains Rice Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2013,6610.0,True
Agricultural Production Foodgrains Rice Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2013,3980.0,True
Agricultural Production Foodgrains Rice Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2013,3280.0,True
Agricultural Production Foodgrains Rice Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2013,7640.0,True
Agricultural Production Foodgrains Rice Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2013,11370.0,True
Agricultural Production Foodgrains Rice Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2013,4400.0,True
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2013,14410.0,True
Agricultural Production Foodgrains Rice Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2013,14960.0,True
Agricultural Production Foodgrains Rice Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2013,3262.0,True
Agricultural Production Foodgrains Rice Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2013,3989.0,True
Agricultural Production Foodgrains Wheat Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2013,5380.0,True
Agricultural Production Foodgrains Wheat Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2013,11120.0,True
Agricultural Production Foodgrains Wheat Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2013,13130.0,True
Agricultural Production Foodgrains Wheat Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2013,16110.0,True
Agricultural Production Foodgrains Wheat Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2013,8950.0,True
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2013,30300.0,True
Agricultural Production Foodgrains Wheat Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2013,4452.0,True
Agricultural Production Foodgrains Wheat Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2013,4573.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2013,5440.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2013,6150.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2013,4360.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2013,6910.0,True
Agricultural Production Foodgrains Coarse Cereals Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2013,3690.0,True
Agricultural Production Foodgrains Coarse Cereals Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2013,3858.0,True
Agricultural Production Foodgrains Coarse Cereals Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2013,3292.0,True
Agricultural Production Foodgrains Coarse Cereals Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2013,3533.0,True
Agricultural Production Foodgrains Coarse Cereals Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2013,5250.0,True
